                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.271,                0.84254,                 1.1937,                0.82389,                0.77126,                0.81756,                0.48664,                 1.3386,                0.85483,                 1.2686,               0.008845,               0.008845,               0.008845
                     37,                 1.2649,                0.84562,                 1.1932,                0.81376,                0.78993,                0.81896,                0.49101,                  1.321,                0.83456,                 1.2543,               0.008812,               0.008812,               0.008812
                     38,                 1.2499,                0.84022,                 1.1869,                0.81546,                0.77253,                0.81536,                0.48687,                  1.337,                0.85326,                 1.2662,               0.008779,               0.008779,               0.008779
                     39,                 1.2696,                0.83831,                 1.1981,                0.82207,                0.77542,                 0.8208,                 0.4917,                 1.3132,                 0.8525,                 1.2491,               0.008746,               0.008746,               0.008746
                     40,                 1.2565,                 0.8396,                 1.1886,                0.80899,                0.78001,                0.81478,                0.49218,                 1.3179,                0.84032,                 1.2549,               0.008713,               0.008713,               0.008713
                     41,                  1.237,                0.82026,                 1.1772,                 0.8162,                0.77849,                0.82017,                0.49132,                 1.3116,                0.84498,                 1.2523,                0.00868,                0.00868,                0.00868
                     42,                 1.2445,                0.81485,                 1.1739,                0.83394,                0.77061,                0.81965,                   0.49,                 1.3156,                0.84747,                 1.2494,               0.008647,               0.008647,               0.008647
                     43,                 1.2466,                 0.8225,                 1.1775,                0.81957,                0.77472,                 0.8183,                0.49632,                 1.2959,                0.84658,                 1.2381,               0.008614,               0.008614,               0.008614
                     44,                 1.2277,                0.80204,                 1.1698,                0.82053,                0.77445,                 0.8155,                0.49065,                 1.3127,                0.84352,                 1.2496,               0.008581,               0.008581,               0.008581
                     45,                 1.2184,                0.79797,                 1.1651,                0.82886,                0.78592,                0.82367,                0.49727,                 1.3072,                0.82916,                 1.2493,               0.008548,               0.008548,               0.008548
                     46,                 1.2218,                0.80077,                 1.1738,                0.81774,                0.78737,                0.82905,                0.50569,                 1.2992,                0.81873,                 1.2443,               0.008515,               0.008515,               0.008515
                     47,                 1.2223,                0.79889,                 1.1622,                  0.839,                 0.7768,                0.82915,                0.50422,                 1.2976,                0.81222,                  1.244,               0.008482,               0.008482,               0.008482
                     48,                 1.2168,                0.78849,                 1.1622,                0.82904,                0.78693,                0.82667,                0.50336,                  1.312,                0.81404,                 1.2539,               0.008449,               0.008449,               0.008449
                     49,                 1.2095,                0.78285,                 1.1621,                0.83021,                0.78578,                0.82492,                0.50092,                 1.2929,                0.80305,                  1.243,               0.008416,               0.008416,               0.008416
                     50,                 1.1927,                0.76835,                 1.1483,                0.83082,                0.78453,                0.82513,                0.50548,                 1.2883,                0.80306,                 1.2313,               0.008383,               0.008383,               0.008383
